group_id,language,level,group_number,word1,definition1,type1,word2,definition2,type2,word3,definition3,type3,word4,definition4,type4,word5,definition5,type5,word6,definition6,type6,word7,definition7,type7,word8,definition8,type8,scene,image
1,Spanish,1,1,cuenta,check,Good,aeropuerto,airport,Good,taza,"cup, mug",Good,café,coffee,Good,tomate,tomato,Bad,carro,"car, automobile",Bad,hamburguesa,"burger, hamburger",Bad,ensalada,salad,Bad,"Check, Airport, Cup, Coffee", C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-1.png
2,Spanish,1,2,niña,"girl, child, daughter",Good,mesa,table,Good,madre,mother,Good,padre,"father, dad",Good,café,coffee,Bad,carne,"meat, pork, beef",Bad,sándwich,"sandwich, sandwiches",Bad,sal,salt,Bad,"Girl, Table, Mother, Father", C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-2.png
3,Spanish,1,3,hermana,sister,Good,mujer,"woman, wife, lady",Good,vaso,glass,Good,pescado,fish,Good,taxi,"taxi, cab",Bad,teléfono,phone,Bad,tren,train,Bad,niño,"boy, child, kid",Bad,"Sister, Woman, Glass, Fish",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-3.png
4,Spanish,1,4,manzana,"apple, block",Good,baño,bathroom,Good,dinero,money,Good,queso,cheese,Good,casa,house,Bad,personas,people,Bad,naranja,orange,Bad,azúcar,sugar,Bad,"Apple, Bathroom, Money, Cheese",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-4.png
5,Spanish,1,5,español,"Spanish, Spaniard, Spanish man",Good,supermercado,supermarket,Good,agua,water,Good,gato,cat,Good,niño,"boy, child, kid",Bad,grande,big,Bad,boleto,ticket,Bad,jugo,juice,Bad,"Spanish man, Supermarket, Water, Cat",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-5.png
6,Spanish,1,6,restaurante,restaurant,Good,calle,street,Good,maleta,suitcase,Good,autobús,bus,Good,pan,"bread, bar, cake",Bad,gato,cat,Bad,museo,"museum, museums",Bad,hombre,"man, bloke, guy",Bad,"Restaurant, Street, Suitcase, Bus",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-6.png
7,Spanish,1,7,hospital,"hospital, hospitals",Good,pasaporte,passport,Good,teléfono,phone,Good,naranja,orange,Good,taza,"cup, mug",Bad,leche,milk,Bad,tomate,tomato,Bad,carro,"car, automobile",Bad,"Hospital, Passport, Phone, Orange",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-7.png
8,Spanish,1,8,hamburguesa,"burger, hamburger",Good,ensalada,salad,Good,niña,"girl, child, daughter",Good,mesa,table,Good,madre,mother,Bad,padre,"father, dad",Bad,café,coffee,Bad,carne,"meat, pork, beef",Bad,"Hamburger, Salad, Girl, Table",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-8.png
9,Spanish,1,9,sándwich,"sandwich, sandwiches",Good,sal,salt,Good,taxi,"taxi, cab",Good,mujer,"woman, wife, lady",Good,vaso,glass,Bad,pescado,fish,Bad,dinero,money,Bad,teléfono,phone,Bad,"Sandwich, Salt, Taxi, Woman",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-9.png
10,Spanish,1,10,tren,train,Good,niño,"boy, child, kid",Good,manzana,"apple, block",Good,casa,house,Good,dinero,money,Bad,queso,cheese,Bad,café,coffee,Bad,personas,people,Bad,"Train, Boy, Apple, House",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-1-10.png
11,Spanish,2,1,bicicleta,bicycle,Good,maestro,teacher,Good,hija,daughter,Good,perro,dog,Good,cinturón,belt,Bad,marrón,brown,Bad,banana,banana,Bad,té,"tea, tea party",Bad,"Bicycle, Teacher, Daughter, Dog",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-2-1.png
12,Spanish,2,2,camiseta,T-shirt,Good,apartamento,apartment,Good,bolígrafo,pen,Good,gris,"gray, grey",Good,hermano,brother,Bad,falda,skirt,Bad,abuelo,grandfather,Bad,clase,class,Bad,"T-shirt, Apartment, Pen, Grey",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-2-2.png
13,Spanish,2,3,estudiante,student,Good,chaqueta,jacket,Good,esposa,wife,Good,computadora,computer,Good,cartera,"purse, bag, wallet",Bad,medicina,medicine,Bad,esposo,husband,Bad,azul,blue,Bad,"Student, Jacket, Wife, Computer",
14,Spanish,2,4,banana,banana,Good,té,"tea, tea party",Good,camiseta,T-shirt,Good,apartamento,apartment,Good,bolígrafo,pen,Bad,abrigo,coat,Bad,hermano,brother,Bad,gris,"gray, grey",Bad,"Banana, Tea, T-shirt, Apartment",
15,Spanish,2,5,cubano,Cuban,Good,rojo,red,Good,ropa,clothes,Good,señora,"ma'am, woman, lady",Good,libro,book,Bad,hijo,son,Bad,sombrero,hat,Bad,profesor,professor,Bad,"Cuban, Red, Clothes, Lady",C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\ES-2-3.png
16,Spanish,2,6,americano,American,Good,falda,skirt,Good,mexicano,Mexican,Good,mexicana,mexican,Good,cubana,Cuban,Bad,verde,green,Bad,reloj,"watch, clock",Bad,España,Spain,Bad,"American, Skirt, Mexican, Mexican",
17,Spanish,2,7,familia,family,Good,regalo,gift,Good,vestido,dress,Good,camisa,"shirt, blouse, top",Good,escuela,school,Bad,cubana,Cuban,Bad,examen,exam,Bad,abuela,grandmother,Bad,"Family, Gift, Dress, Shirt",
18,Spanish,2,8,tienda,store,Good,universidad,"university, college",Good,bicicleta,bicycle,Good,maestro,teacher,Good,hija,daughter,Bad,cinturón,belt,Bad,perro,dog,Bad,marrón,brown,Bad,"Store, University, Bicycle, Teacher",
19,Spanish,2,9,abuelo,grandfather,Good,clase,class,Good,cubano,Cuban,Good,rojo,red,Good,ropa,clothes,Bad,señora,"ma'am, woman, lady",Bad,libro,book,Bad,hijo,son,Bad,"Grandfather, Class, Cuban, Red",
20,Spanish,2,10,sombrero,hat,Good,profesor,professor,Good,americano,American,Good,falda,skirt,Good,mexicano,Mexican,Bad,mexicana,mexican,Bad,americana,American,Bad,verde,green,Bad,"Hat, Professor, American, Skirt",
21,Spanish,3,1,escritorio,desk,Good,baile,"dance, dance!, dance hall",Good,computadoras,computers,Good,novio,"boyfriend, fiancé, groom",Good,película,"movie, film",Bad,médico,doctor,Bad,puerta,"door, gate",Bad,número,"number, act, constable",Bad,"Desk, Dance, Computers, Boyfriend",
22,Spanish,3,2,estación,"station, stations, season",Good,francés,French,Good,correo electrónico,email,Good,estudiantes,"students, university students, college students",Good,concierto,"concert, (I) arrange, (I) agree",Bad,playa,"beach, beaches",Bad,portugués,Portuguese,Bad,Europa,Europe,Bad,"Station, French, Email, Students",
23,Spanish,3,3,fútbol,"soccer, football",Good,camarera,"waitress, barmaid, maid",Good,Francia,France,Good,mascota,"pets, pet, mascot",Good,joven,"young, young man, young woman",Bad,cumpleaños,"birthday, birthday party, birthdays",Bad,biblioteca,"library, bookcase, bookshelves",Bad,inglesa,English,Bad,"Soccer, Waitress, France, Pet",
24,Spanish,3,4,española,Spanish,Good,italiano,Italian,Good,amigo,"friend, buddy, bud",Good,pueblo,"town, people, small town",Good,béisbol,baseball,Bad,Inglaterra,England,Bad,vino,"wine, (he/she/it/you) came, (he/she/it/you) arrived",Bad,dirección,"direction, address, setting",Bad,"Spanish, Italian, Friend, Town",
25,Spanish,3,5,pantalón,"trousers, pants",Good,médica,"doctor, medical",Good,amiga,friend,Good,jugador,player,Good,carta,"letter, card",Bad,novia,"girlfriend, bride, fiancée",Bad,oficina,office,Bad,metro,"meters, meter, subway",Bad,"Pants, Doctor, Friend, Player",
26,Spanish,3,6,fiesta,"party, holiday, don't",Good,zapato,shoe,Good,bolígrafos,"pens, ballpoint pens",Good,partido,"game, match, departed",Good,camarero,"waiter, barman, bellboy",Bad,maestra,teacher,Bad,jefe,"boss, manager",Bad,ciudad,"city, town",Bad,"Party, Shoe, Pens, Game",
27,Spanish,3,7,celular,"cell phone, cellphone, cell",Good,hijos,"children, sons",Good,escritorio,desk,Good,baile,"dance, dance!, dance hall",Good,computadoras,computers,Bad,novio,"boyfriend, fiancé, groom",Bad,película,"movie, film",Bad,médico,doctor,Bad,"Cell phone, Children, Desk, Dance",
28,Spanish,3,8,puerta,"door, gate",Good,número,"number, act, constable",Good,estación,"station, stations, season",Good,francés,French,Good,correo electrónico,email,Bad,estudiantes,"students, university students, college students",Bad,concierto,"concert, (I) arrange, (I) agree",Bad,playa,"beach, beaches",Bad,"Door, Number, Station, French",
29,Spanish,3,9,portugués,Portuguese,Good,Europa,Europe,Good,fútbol,"soccer, football",Good,camarera,"waitress, barmaid, maid",Good,Francia,France,Bad,mascota,"pets, pet, mascot",Bad,joven,"young, young man, young woman",Bad,cumpleaños,"birthday, birthday party, birthdays",Bad,"Portuguese, Europe, Soccer, Waitress",
30,Spanish,3,10,biblioteca,"library, bookcase, bookshelves",Good,inglesa,English,Good,española,Spanish,Good,italiano,Italian,Good,amigo,"friend, buddy, bud",Bad,pueblo,"town, people, small town",Bad,béisbol,baseball,Bad,Inglaterra,England,Bad,"Library, English, Spanish, Italian",
31,Spanish,4,1,ventana,window,Good,cuchillo,knife,Good,baloncesto,basketball,Good,dólar,dollar,Good,comida,"eaten, food, meal",Bad,dormitorio,"room, bedroom, dormitory",Bad,padres,"parents, fathers",Bad,planta,"plants, plant, floor",Bad,"Window, Knife, Basketball, Dollar",
32,Spanish,4,2,bebida,drink,Good,viejo,"old, old man",Good,negro,black,Good,jardín,"garden, yard",Good,tinto,red,Bad,cama,bed,Bad,cerveza,beer,Bad,zoológico,zoo,Bad,"Drink, Old, Black, Garden",
33,Spanish,4,3,plato,"dish, course, plate",Good,frijol,"food, bean",Good,periódico,"newspaper, daily newspaper",Good,rubio,blond,Good,persona,person,Bad,celulares,cell phones,Bad,marido,husband,Bad,tarjeta de crédito,"credit card, credit",Bad,"Dish, Bean, Newspaper, Blond",
